Model,AIME24,AIME25,AMC23,MATH500,Minerva,OlympiadBench,gsm8k,Math_AVG,bbeh,mmlupro,supergpqa,General_AVG,Overall_AVG
Qwen2.5-Math-1.5B,8.44,4.69,40.0,37.0,15.81,22.26,39.88,24.01,,,,,24.01
data_AIME25_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V1,8.65,5.0,42.5,59.4,18.75,28.93,68.76,33.14,1.99,17.87,12.22,10.69,26.41
data_AIME25_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V2,8.33,5.42,52.5,66.0,23.53,31.9,74.22,37.41,3.98,23.86,13.54,13.79,30.33
data_AIME25_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V3,8.85,6.88,52.5,66.0,24.26,33.23,76.04,38.25,3.98,23.86,14.29,14.04,30.99
data_AIME25_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V4,7.4,7.5,55.0,66.8,26.84,31.45,74.75,38.53,4.65,25.6,14.71,14.99,31.47
data_AIME25_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V5,9.38,8.44,52.5,66.4,26.47,32.49,74.91,38.66,5.31,26.85,14.1,15.42,31.69
data_AIME25_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V6,7.08,10.1,52.5,67.4,26.47,34.42,76.42,39.2,4.2,26.43,14.48,15.04,31.95
data_AIME25_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V7,8.65,10.73,57.5,67.6,26.1,31.75,76.42,39.82,4.2,26.35,15.2,15.25,32.45
data_AIME25_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V8,8.23,11.77,45.0,67.0,28.68,32.49,76.72,38.56,4.87,26.1,16.03,15.67,31.69
data_AIME25_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V9,7.92,12.19,52.5,65.6,27.94,32.79,77.33,39.47,5.09,27.43,15.35,15.96,32.41
data_AIME25_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V10,7.71,12.08,45.0,66.8,29.78,32.49,77.18,38.72,5.75,25.77,16.33,15.95,31.89
data_AIME25_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V11,9.38,12.71,40.0,66.2,29.41,32.49,78.24,38.35,5.31,26.77,15.84,15.97,31.63
data_AIME25_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V12,7.92,12.92,42.5,65.4,28.68,33.38,77.79,38.37,6.42,25.69,16.44,16.18,31.71
data_AIME25_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V13,8.65,13.02,42.5,67.4,29.41,32.94,78.54,38.92,6.19,26.6,16.63,16.47,32.19
data_AIME25_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V14,8.96,13.02,42.5,67.4,29.04,32.94,77.48,38.76,6.64,26.68,16.14,16.49,32.08
data_AIME25_R_Zero_ref_q_gqttrl_icl_Qwen2.5-Math-1.5B-V15,8.23,13.33,42.5,66.6,30.88,30.42,77.48,38.49,5.53,27.1,15.76,16.13,31.78
